headline,sentiment_label,date,stock
The total value of the deal is USD 29mn .,neutral,2018-01-01,TSLA
The value of the order is USD 2.2 mn .,neutral,2018-01-01,TSLA
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral,2018-01-01,TSLA
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",neutral,2018-01-01,TSLA
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,neutral,2018-01-02,AAPL
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .",neutral,2018-01-02,AAPL
It inspects the companys strategic strengths and weaknesses .,neutral,2018-01-02,NVDA
"According to product manager Lassi Hietanen , building a power plant that burns mixed waste in Helsinki may not be a good idea because this reduces the production of combined power plants using natural gas .",neutral,2018-01-02,AAPL
Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,positive,2018-01-03,NVDA
Deliveries have started and the network will be ready for a launch soon .,positive,2018-01-03,TSLA
Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,neutral,2018-01-03,NVDA
"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",negative,2018-01-04,NVDA
The expansion is to be finalized in the autumn of 2009 .,neutral,2018-01-04,TSLA
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative,2018-01-05,AAPL
"According to product manager Lassi Hietanen , building a power plant that burns mixed waste in Helsinki may not be a good idea because this reduces the production of combined power plants using natural gas .",neutral,2018-01-05,TSLA
"Previously , Vaahto Pulp has supplied headboxes with rectifier roll and dilution control technology for Stora Enso 's mill in Imatra , eastern Finland .",neutral,2018-01-05,TSLA
Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,positive,2018-01-05,AAPL
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,2018-01-05,TSLA
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",negative,2018-01-08,TSLA
"The firm is headquartered in Vantaa , southern Finland and has 16 employees .",neutral,2018-01-09,NVDA
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",neutral,2018-01-09,NVDA
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+_cs , where the company has two plants .",positive,2018-01-09,NVDA
The value of the order is EUR 4mn .,neutral,2018-01-09,NVDA
